Table
* indicates "Cities of COUNTRY or TERRITORY" links.
Country (or territory)	Capital	Population	% of country	Source
 China *	Beijing	21,542,000	1.5%	[1] 2018
 Japan *	Tokyo	14,094,034	11.3%	[2] 2023
 Russia *	Moscow	13,104,177	9.0%	[3] 2023
 DR Congo *	Kinshasa	12,691,000	13.2%	[4] 2017
 Indonesia *	Jakarta	10,562,088	3.9%	[5] 2020
 Egypt *	Cairo	10,107,125	9.3%	[6] 2022
 South Korea *	Seoul	9,508,451	18.3%	[7] 2022
 Mexico	Mexico City	9,209,944	7.3%	[8] 2020
 United Kingdom *	London	9,002,488	13.4%	[9] 2020
 Bangladesh *	Dhaka	8,906,039	5.3%	[10] 2011
 Peru *	Lima	8,852,000	26.3%	[11] 2012
 Iran *	Tehran	8,693,706	9.9%	2016
 Thailand	Bangkok	8,305,218	11.6%	[12] 2010
 Vietnam	Hanoi	8,053,663	8.3%	[13] 2019
 Iraq *	Baghdad	7,682,136	17.6%	[14] 2021
 Saudi Arabia	Riyadh	7,676,654	21.4%	2018
 Hong Kong (China)	Hong Kong	7,291,600	100%	[15] 2022
 Colombia *	Bogotá	7,181,469	13.9%	[16] 2011
 Chile *	Santiago	6,310,000	32.4%	[17] 2012
 Turkey *	Ankara	5,747,325	6.8%	[18] 2021
 Singapore	Singapore	5,453,600	91.8%	[19] 2021
 Afghanistan *	Kabul	4,601,789	11.5%	2021
 Kenya	Nairobi	4,397,073	8.3%	2019
 Jordan	Amman	4,061,150	36.4%	[20] 2021
 Algeria *	Algiers	3,915,811	8.9%	2011
 Germany *	Berlin	3,677,472	4.4%	[21] 2021
 Spain *	Madrid	3,305,408	7.0%	[22] 2021
 Ethiopia *	Addis Ababa	3,040,740	2.5%	[23] 2012
 Kuwait	Kuwait City	2,989,000	70.3%	2018
 Guatemala	Guatemala City	2,934,841	16.7%	2020
 South Africa	Pretoria	2,921,488	4.9%	[24] 2011
 Ukraine *	Kyiv	2,920,873	6.7%	[25] 2021
 Argentina *	Buenos Aires	2,891,082	6.4%	[26] 2010
 North Korea *	Pyongyang	2,870,000	11.1%	2016
 Uzbekistan *	Tashkent	2,860,600	8.4%	[27] 2022
 Italy *	Rome	2,761,632	4.7%	[28] 2022
 Ecuador	Quito	2,800,388	15.7%	2020
 Cameroon	Yaoundé	2,765,568	10.2%	[29] 2015
 Zambia	Lusaka	2,731,696	14.0%	2020
 Sudan *	Khartoum	2,682,431	5.9%	2012
 Brazil *	Brasília	2,648,532	1.2%	[30] 2012
 Taiwan *	Taipei (de facto)	2,608,332	10.9%	[31] 2020
 Yemen	Sanaa	2,575,347	7.8%	2012
 Angola	Luanda	2,571,861	7.5%	2020
 Burkina Faso	Ouagadougou	2,453,496	11.1%	2019
 Ghana	Accra	2,388,000	7.3%	2017
 Somalia	Mogadishu	2,388,000	14.0%	2021
 Azerbaijan	Baku	2,303,100	22.3%	[32] 2022
 Cambodia	Phnom Penh	2,281,951	13.8%	2019
